== 検索履歴インデックス ==

このファイルは過去の商品検索レポートの履歴を管理します。
レポートが生成されるたびに、report-writer エージェントが 1 行追記します。

形式:
  YYYY-MM-DD HH:MM | [商品名] | reports/search_YYYYMMDD_HHMM.txt

-- 履歴 --

2026-04-08 10:46 | 財布用超小型位置情報トラッカー（AirTag 代替） | reports/search_20260408_1046.txt
2026-04-08 11:00 | 財布用超小型位置情報トラッカー（AirTag 代替） v2：価格+中古市場+原因分析 追補版 | reports/search_20260408_1046_v2.txt
2026-04-08 11:15 | 財布用超小型位置情報トラッカー（AirTag 代替） v2 Markdown 版（ハイパーリンク付き） | reports/search_20260408_1046_v2.md
2026-04-09 04:45 | 財布用超小型位置情報トラッカー（AirTag 代替） v3 在庫訂正版（失敗 5 対応、後継機発見、Pebblebee 発見） | reports/search_20260408_1046_v3.md
2026-04-09 05:10 | 財布用超小型位置情報トラッカー（AirTag 代替） v4 サクラチェッカー検証追加版 | reports/search_20260408_1046_v4.md
2026-04-09 06:07 | フィナステリド 1mg 内服錠（AGA・育毛目的、オオサカ堂中心）v1 | reports/search_20260409_0607_finasteride_v1.md
2026-04-10 07:17 | 2 歳児向け絵本（着替え + 幼稚園）v1 | reports/search_20260410_0717_picturebooks_v1.md
2026-04-10 07:30 | 財布用超小型位置情報トラッカー（AirTag 代替）最終版 | reports/search_20260408_1046_final.md
2026-04-10 09:40 | 幼児向けストロー付き水筒 300〜400ml v1 | reports/search_20260410_0940_waterbottle_v1.md
2026-04-10 12:00 | 幼児向けストロー付き水筒 300〜400ml 安価帯+中古調査 v1 | reports/search_20260410_1200_waterbottle_budget_v1.txt
2026-04-11 02:16 | SIM フリースマートフォン（Pixel/Galaxy/Xiaomi、大画面・AI・カメラ重視）v1 | reports/search_20260411_0216_smartphone_v1.md
2026-04-11 08:37 | スマートスピーカー/ディスプレイ（Alexa/Google/Siri 比較）v1 | reports/search_20260411_0837_smartspeaker_v1.md
2026-04-19 12:00 | ロキソニンSテープ 7cm×10cm・14cm×10cm 全 SKU 調査（Amazon 専用） | reports/search_20260419_1200_loxonin_tape.txt
2026-04-19 04:22 | ロキソニンSテープ 7cm・14cm 1枚単価最安値 TOP3（Amazon+Yahoo!）v1 | reports/search_20260419_0422_loxonin_tape_v1.md
2026-04-19 15:00 | こどもが歯磨きしたくなる絵本（楽天市場）v1 | reports/search_20260419_1500_hamigaki_ehon_v1.txt
2026-04-19 04:30 | こどもが歯磨きしたくなる絵本 最終版（楽天+Yahoo!+Amazon）v1 | reports/search_20260419_hamigaki_ehon_v1.md
2026-04-19 05:00 | ロキソプロフェンNaテープ 代替・ジェネリック品調査（Amazon） | reports/search_20260419_loxoprofen_tape_v1.txt
2026-04-19 05:30 | ロキソプロフェンNaテープ 最安値TOP3 v2（代替品含む全比較） | reports/search_20260419_loxonin_tape_v2.md
2026-04-22 12:00 | 室内用靴下（夏用・薄手・27cm以上）Yahoo!ショッピング v1 | reports/search_20260422_1200_room_socks_summer_v1.txt
2026-04-22 12:30 | 室内用靴下（夏用・27cm以上）最終版（楽天+Yahoo!）v1 | reports/search_20260422_room_socks_v1.md
2026-04-26 15:00 | メンズ タートルネック/ハイネック ロングTシャツ（Yahoo!ショッピング）v1 | reports/search_20260426_1500_mens_turtleneck_longt_v1.txt
2026-04-26 18:00 | メンズ タートルネック/ハイネック ロングTシャツ 胸ポケット付き（Amazon.co.jp 専属）v1 | reports/search_20260426_1800_mens_turtleneck_amazon_v1.txt
2026-04-26 19:00 | メンズ タートルネック/ハイネック/モックネック ロングTシャツ 胸ポケット付き（Yahoo!ショッピング）v1 | reports/search_20260426_1900_mens_turtleneck_pocket_v1.txt
2026-04-26 20:00 | メンズ タートルネック/ハイネック/モックネック ロングTシャツ 胸ポケット付き 最終版（Yahoo!+Amazon+楽天 3チャネル） | reports/search_20260426_turtleneck_pocket_v1.md
2026-04-27 12:00 | スマートフォン接続対応 小型プロジェクター（格安・WiFiミラーリング対応）Amazon.co.jp 専属 v1 | reports/search_20260427_1200_projector_smartphone_v1.txt
2026-04-27 13:00 | スマートフォン接続対応 小型プロジェクター 最終版（Yahoo!+楽天+Amazon 3チャネル） | reports/search_20260427_projector_smartphone_v1.md
2026-04-28 00:00 | 楽天市場における偽レビュー・サクラレビューの実態と割合推計 リサーチレポート | reports/research_20260428_rakuten_fake_reviews_v1.md
2026-04-28 12:00 | リサーチ: Yahoo!ショッピング偽レビュー実態・消費者庁ECサイト横断調査 | reports/research_20260428_fake_reviews_yahoo_ec.txt
2026-04-28 13:00 | ECサイト別 偽レビュー実態比較 最終版（Amazon/楽天/Yahoo!横断・サクラ判定軸・ツール比較） | reports/research_20260428_fake_reviews_ec_comparison_v1.md
2026-04-28 15:00 | スマートフォン接続対応プロジェクター サクラ合格品限定調査（合格品ゼロ・カテゴリ構造問題） | reports/search_20260428_1500_projector_sakura_v1.txt
2026-04-28 16:00 | スマートフォン接続対応 小型プロジェクター TOP3 v2（Amazon・サクラ合格限定） | reports/search_20260428_projector_sakura_v2.md
2026-05-06 10:00 | グレー無地ゆったりクルー丈靴下 27〜29cm（楽天市場 全5チャネル調査）v1 | reports/search_20260506_1000_socks_grey_v1.txt
2026-05-06 12:00 | UVカット・フェイスカバー付き・接触冷感パーカー（Amazon.co.jp 専属）v1 | reports/search_20260506_1200_uv_face_cover_parka_v1.txt
2026-05-06 13:00 | UVカット・フェイスカバー付き・接触冷感パーカー 最終版（楽天+Yahoo!+Amazon 3チャネル）v1 | reports/search_20260506_uv_face_cover_parka_v1.md
2026-05-17 10:00 | 犬のうんち臭対策ゴミ箱・消臭グッズ（ゴミ箱蓋・取り付け型消臭剤）Amazon.co.jp 専属 v1 | reports/search_20260517_1000_pet_deodorizer_v1.txt
2026-05-17 11:00 | 犬のうんち臭対策ゴミ箱・消臭グッズ 最終版（楽天+Yahoo!+Amazon 3チャネル）v1 | reports/search_20260517_pet_deodorizer_v1.md
2026-05-18 10:00 | Windows PC用 USB/USB-C 接続イヤホン・ヘッドセット（オンライン会議向け）Amazon.co.jp 専属 v1 | reports/search_20260518_1000_usb_earphone_meeting_v1.txt
2026-05-18 11:00 | Windows PC用 USB/USB-C 接続イヤホン・ヘッドセット 最終版（楽天+Yahoo!+Amazon 3チャネル）v1 | reports/search_20260518_usb_earphone_meeting_v1.md
2026-05-18 14:00 | 屋外用・耐UV・耐候性粘着テープ メルカリ専属調査（アルミブチルテープ TOP3） | reports/search_20260518_1400_uv_tape_mercari_v1.txt
2026-05-18 14:00 | 屋外用耐UV・耐候性粘着テープ 全5チャネル最終版 | reports/search_20260518_1400_uv_tape_final.txt
2026-05-18 21:00 | メンズ靴下（グレー無地・27-29cm・ハーフ丈/クルー丈・口ゆったり）Yahoo!ショッピング新規開拓調査 v1 | reports/search_20260518_2100_socks_grey_yahoo_v1.txt
2026-05-18 22:00 | メンズ靴下 グレー無地・27-29cm・ハーフ丈・口ゆったり 改訂版 v2 最終版（楽天+Yahoo!+Amazon 3チャネル・TOP5） | reports/search_20260518_2200_socks_grey_v2.md
2026-05-19 10:00 | ノートPC（軽量・14インチ・Ryzen5/Core i5第12世代以降）Amazon.co.jp 専属調査 v1（全条件充足品ゼロ・準合格3件） | reports/search_20260519_1000_notebook_pc_amazon_v1.txt
2026-05-19 10:00 | ノートPC（軽量・Ryzen5/Core i5第12世代以降）Yahoo!ショッピング専属調査 v1（全条件充足品ゼロ・準合格3件） | reports/search_20260519_1000_notebook_pc_yahoo_v1.txt
2026-05-19 10:00 | ノートPC（軽量・14インチ・Ryzen5）楽天市場専属調査 v1（合格候補3件・価格要確認） | reports/search_20260519_1000_notebook_pc_rakuten_v1.txt
2026-05-19 11:00 | カフェ作業用 軽量ノートPC TOP3 最終版（Amazon+楽天+Yahoo! 3チャネル横断）v1 | reports/search_20260519_notebook_pc_v1.md

2026-05-31 12:00 | モビコール・類似品 処方なし入手方法 調査レポート v1（OTC代替品・オンライン診療・iHerb MiraLax・個人輸入代行 4ルート比較） | reports/research_20260531_movicol_otc_alternatives_v1.md

2026-06-04 12:00 | 乳酸菌サプリ 高菌数（1,000億CFU以上）Amazon.co.jp 専属調査 v1（TOP3+参考候補・サクラ除外4件） | reports/search_20260604_1200_lactobacillus_highcfu_v1.txt

2026-06-04 12:00 | iHerb プロバイオティクス（乳酸菌）1日1,000億CFU以上 コスパ重視 iHerb専属調査（CGN LactoBif/NOW Probiotic-10/Renew Life TOP3） | reports/search_20260604_1200_probiotics_iherb_v1.txt

2026-06-04 13:00 | 乳酸菌 1日1,000億個 コスパ最強商品 最終版（Amazon/楽天/iHerb/市販品・ピルクル含む 全チャネル横断） | reports/search_20260604_lactobacillus_1000billion_final.md

